Body_Left_Palm,0.164997896,-0.004467773,0.006594802,-0.04642545,0.000243946,0.000268875,0.00017683,0.000011081,0.00006133,-0.000074294
Body_LWR,0.003017047,0,0,0,0.000000032,0.00000004,0.000000064,0,0,0
Body_LWY,0.27822395,-0.003372725,-0.000033462,-0.039374046,0.000458115,0.000449915,0.000200816,-0.000000401,0.000000059,-0.000015682
Body_LEP,0.090349046,-0.013771295,-0.00656247,-0.019735321,0.000067021,0.000075166,0.000077705,-0.000002584,-0.000004623,-0.000013385
Body_LSY,1.40749333,0.007506423,-0.001888922,-0.089712642,0.004747016,0.00465941,0.00014984,-0.000156016,-0.000254437,0.000828753
Body_LSR,0.348180156,-0.032544374,-0.002402058,-0.004360644,0.000273479,0.000247752,0.000216759,0.000007678,-0.000010681,0.000009906
Body_LSP,0.696196989,0.017375862,0.056462706,-0.000002143,0.000915048,0.000937024,0.001287655,-0.000172338,-0.000000272,-0.000000272
Body_LAR,0.565035788,-0.047814592,0.001783967,-0.051987952,0.001437101,0.002989538,0.002925426,-0.000008128,0.000030833,0.000035714
Body_LAP,1.758776893,0.018049727,-0.043128744,0.011360988,0.002680631,0.003480188,0.003165507,0.000108974,0.000120538,0.000347672
Body_LHR,2.644641101,0.013851967,0.010904681,-0.011975671,0.00438497,0.00463275,0.004398334,0.000223925,-0.000378321,-0.000447357
Body_LHY,0.483118742,0.006789681,0.000063656,-0.053769264,0.000863427,0.002029641,0.001473105,0.000001238,0.000000627,0.000042545
Body_LHP,3.098799394,0.019867805,0.058794402,-0.188774904,0.036844807,0.034557057,0.00923802,0.00025553,0.000952212,-0.000624748
Body_LKP,1.366883237,0.017450486,-0.020008908,-0.150701407,0.020182416,0.018594267,0.004111716,0.000141698,0.001827119,-0.000671066
Body_Hip,4.436339231,-0.011804276,-0.000018681,-0.044394816,0.022766841,0.009418222,0.02661052,0.000053624,-0.000010039,-0.000164219
Body_Torso,7.957477863,-0.005491508,-0.000506882,-0.048936988,0.083562403,0.052227956,0.075748578,-0.000067989,-0.001207161,0.002483494
Body_Left_Palm,0.164997896,-0.004467773,0.006594802,-0.04642545,0.000243946,0.000268875,0.00017683,-0.000011081,-0.00006133,-0.000074294
Body_LWR,0.003017047,0,0,0,0.000000032,0.00000004,0.000000064,0,0,0
Body_LWY,0.27822395,-0.003372725,-0.000033462,-0.039374046,0.000458115,0.000449915,0.000200816,0.000000401,-0.000000059,-0.000015682
Body_LEP,0.090349046,-0.013771295,-0.00656247,-0.019735321,0.000067021,0.000075166,0.000077705,0.000002584,0.000004623,-0.000013385
Body_LSY,1.40749333,0.007506423,-0.001888922,-0.089712642,0.004747016,0.00465941,0.00014984,0.000156016,0.000254437,0.000828753
Body_LSR,0.348180156,-0.032544374,-0.002402058,-0.004360644,0.000273479,0.000247752,0.000216759,-0.000007678,0.000010681,0.000009906
Body_LSP,0.696196989,0.017375862,0.056462706,-0.000002143,0.000915048,0.000937024,0.001287655,0.000172338,0.000000272,-0.000000272
Body_LAR,0.565035788,-0.047814592,0.001783967,-0.051987952,0.001437101,0.002989538,0.002925426,0.000008128,-0.000030833,0.000035714
Body_LAP,1.758776893,0.018049727,-0.043128744,0.011360988,0.002680631,0.003480188,0.003165507,-0.000108974,-0.000120538,0.000347672
Body_LHR,2.644641101,0.013851967,0.010904681,-0.011975671,0.00438497,0.00463275,0.004398334,-0.000223925,0.000378321,-0.000447357
Body_LHY,0.483118742,0.006789681,0.000063656,-0.053769264,0.000863427,0.002029641,0.001473105,-0.000001238,-0.000000627,0.000042545
Body_LHP,3.098799394,0.019867805,0.058794402,-0.188774904,0.036844807,0.034557057,0.00923802,-0.00025553,-0.000952212,-0.000624748
Body_LKP,1.366883237,0.017450486,-0.020008908,-0.150701407,0.020182416,0.018594267,0.004111716,-0.000141698,-0.001827119,-0.000671066
